tid,attribute,correct_val
0,name,Asis_Sinisa
0,surname,Hennebert
0,birthyear,1986
0,birthplace,Elko
0,position,Midfield
0,team,Juventus
0,city,Salvador
0,stadium,BMO_Field
0,season,2010
0,manager,Masum_Kasprzak
1,name,Bhuwan_Percy
1,surname,Bouabdallah
1,birthyear,1984
1,birthplace,Guangzhou
1,position,Forward
1,team,Boavista_F.C.
1,city,Naples
1,stadium,Veltins-Arena
1,season,2015
1,manager,Duckyoung_Padhye
2,name,Caryl_Moninder
2,surname,Obermaier
2,birthyear,1984
2,birthplace,Warsaw
2,position,Forward
2,team,VfL_Wolfsburg
2,city,Solna
2,stadium,Allianz_Arena_Olympic_Stadium_Munich
2,season,2011
2,manager,Atsufumi_Comparetto
3,name,Nalvo_Shaygan
3,surname,Handschuh
3,birthyear,1996
3,birthplace,Missoula
3,position,Defender
3,team,Boavista_F.C.
3,city,Naples
3,stadium,Veltins-Arena
3,season,2015
3,manager,Duckyoung_Padhye
4,name,Rastislav_Stevo
4,surname,Bellosta
4,birthyear,1976
4,birthplace,Cozumel
4,position,Midfield
4,team,The_New_Saints_F.C.
4,city,Arlington
4,stadium,Parc_des_Princes
4,season,2012
4,manager,Mayan_Tautenhahn
5,name,Gang_Vivekananda
5,surname,Hofstetter
5,birthyear,1983
5,birthplace,Mobile
5,position,Midfield
5,team,FC_Midtjylland
5,city,Houston
5,stadium,Stade_Louis_II
5,season,2011
5,manager,Mattan_Edelhoff
6,name,Antonius_Ard
6,surname,Rikino
6,birthyear,1975
6,birthplace,Prague
6,position,Defender
6,team,Toronto_FC
6,city,Stuttgart
6,stadium,Camp_Nou
6,season,2014
6,manager,Kazuhiko_Claybrook
7,name,Tatuo_Bongki
7,surname,Scofield
7,birthyear,1992
7,birthplace,Birmingham
7,position,Forward
7,team,S.C._Braga
7,city,Gelsenkirchen
7,stadium,Sporting_Park
7,season,2013
7,manager,Shyamala_Gibbs
8,name,Sahrah_Kimon
8,surname,Muluszynski
8,birthyear,1991
8,birthplace,Gainesville
8,position,Goalkeeper
8,team,Wolverhampton_Wanderers_Football_Club
8,city,Glasgow
8,stadium,Emirates_Stadium
8,season,2013
8,manager,Sigenobu_Bodagala
9,name,Yadran_Mechthild
9,surname,Rayne
9,birthyear,1983
9,birthplace,South
9,position,Defender
9,team,New_York_Red_Bulls
9,city,Solna
