,0,1,2,3
19149,COL f_name VAL Waqar COL l_name VAL Navazio COL gender VAL M COL area_code VAL 256 COL phone VAL 456-2618 COL city VAL TRAFFORD COL state VAL AL COL zip VAL 35172 COL marital_status VAL M COL has_child VAL N COL salary VAL 70000 COL rate VAL 5.0 COL single_exemp VAL 0 COL married_exemp VAL 3000 COL child_exemp VAL 300 ,COL city VAL TRAFFORD ,0,city
2975,COL f_name VAL Kejun COL l_name VAL D''Auria COL gender VAL M COL area_code VAL 415 COL phone VAL 239-9806 COL city VAL RIVERSIDE COL state VAL CA COL zip VAL 92503 COL marital_status VAL S COL has_child VAL N COL salary VAL 10000 COL rate VAL 1.869 COL single_exemp VAL 87 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL child_exemp VAL 0 ,0,child_exemp
36696,COL f_name VAL Yarou COL l_name VAL Sta''ndera COL gender VAL M COL area_code VAL 907 COL phone VAL 671-3584 COL city VAL KARLUK COL state VAL AK COL zip VAL 99608 COL marital_status VAL M COL has_child VAL Y COL salary VAL 10000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL Sta''ndera ,1,l_name
30815,COL f_name VAL Thimothy COL l_name VAL D''Silva COL gender VAL M COL area_code VAL 860 COL phone VAL 370-3121 COL city VAL JEWETT CITY COL state VAL CT COL zip VAL 6351 COL marital_status VAL S COL has_child VAL Y COL salary VAL 25000 COL rate VAL 5.0 COL single_exemp VAL 12750 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL CT ,0,state
29093,COL f_name VAL Plame'n COL l_name VAL Beek COL gender VAL F COL area_code VAL 907 COL phone VAL 930-6447 COL city VAL TAKOTNA COL state VAL AK COL zip VAL 99675 COL marital_status VAL M COL has_child VAL N COL salary VAL 100000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL f_name VAL Plame'n ,0,f_name
20191,COL f_name VAL Goff COL l_name VAL Dabi'pi COL gender VAL F COL area_code VAL 256 COL phone VAL 118-6394 COL city VAL BRUNDIDGE COL state VAL AL COL zip VAL 36010 COL marital_status VAL M COL has_child VAL N COL salary VAL 65000 COL rate VAL 5.0 COL single_exemp VAL 1500 COL married_exemp VAL 0 COL child_exemp VAL 300 ,COL l_name VAL Dabi'pi ,0,l_name
36442,COL f_name VAL Scarlet COL l_name VAL Carrico COL gender VAL F COL area_code VAL 907 COL phone VAL 731-2248 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99514 COL marital_status VAL S COL has_child VAL Y COL salary VAL 10000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL child_exemp VAL 0-* ,1,child_exemp
10170,COL f_name VAL Juliana COL l_name VAL Ayari COL gender VAL F COL area_code VAL 205 COL phone VAL 244-2771 COL city VAL GRAYSVILLE-* COL state VAL AL COL zip VAL 35073 COL marital_status VAL S COL has_child VAL N COL salary VAL 35000 COL rate VAL 5.0 COL single_exemp VAL 1500 COL married_exemp VAL 0 COL child_exemp VAL 300 ,COL city VAL GRAYSVILLE-* ,1,city
3276,COL f_name VAL ''Tevfik COL l_name VAL D''Agostino COL gender VAL M COL area_code VAL 573 COL phone VAL 711-6048 COL city VAL BOGARD COL state VAL MO COL zip VAL 64622 COL marital_status VAL M COL has_child VAL N COL salary VAL 30000 COL rate VAL 6.0 COL single_exemp VAL 0 COL married_exemp VAL 4200 COL child_exemp VAL 0 ,COL f_name VAL ''Tevfik ,1,f_name
8993,COL f_name VAL Ilaria COL l_name VAL Acil''diev COL gender VAL M COL area_code VAL 701 COL phone VAL 960-2111 COL city VAL ROSS COL state VAL ND COL zip VAL 58776 COL marital_status VAL S COL has_child VAL Y COL salary VAL 90000 COL rate VAL 2.7990127 COL single_exemp VAL 3300 COL married_exemp VAL 0 COL child_exemp VAL 3300 ,COL state VAL ND ,0,state
22269,COL f_name VAL Masum COL l_name VAL A'ppelfeller COL gender VAL M COL area_code VAL 334 COL phone VAL 710-3672 COL city VAL BIRMINGHAM COL state VAL AL COL zip VAL 35245 COL marital_status VAL M COL has_child VAL N COL salary VAL 100000 COL rate VAL 5.0 COL single_exemp VAL 1500 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL A'ppelfeller ,0,l_name
11299,COL f_name VAL Cem'al COL l_name VAL DuCasse COL gender VAL F COL area_code VAL 703 COL phone VAL 251-7277 COL city VAL EASTVILLE COL state VAL VA COL zip VAL 1907 COL marital_status VAL S COL has_child VAL Y COL salary VAL 70000 COL rate VAL 5.75 COL single_exemp VAL 900 COL married_exemp VAL 0 COL child_exemp VAL 900 ,COL f_name VAL Cem'al ,0,f_name
25432,COL f_name VAL Ferr''ell COL l_name VAL Kasa COL gender VAL F COL area_code VAL 706 COL phone VAL 716-7421 COL city VAL COLUMBUS COL state VAL GA COL zip VAL 1907 COL marital_status VAL M COL has_child VAL N COL salary VAL 40000 COL rate VAL 6.0 COL single_exemp VAL 0 COL married_exemp VAL 5400 COL child_exemp VAL 0 ,COL f_name VAL Ferr''ell ,1,f_name
30579,COL f_name VAL Osnat COL l_name VAL Kajihara COL gender VAL M COL area_code VAL 907 COL phone VAL 612-6445 COL city VAL FAIRBANKS COL state VAL AK COL zip VAL 99775 COL marital_status VAL S COL has_child VAL N COL salary VAL 65000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL single_exemp VAL 0 ,0,single_exemp
23326,COL f_name VAL Tsuneyo COL l_name VAL Port COL gender VAL F COL area_code VAL 205 COL phone VAL 314-6043 COL city VAL BRENT COL state VAL AL COL zip VAL 35034 COL marital_status VAL M COL has_child VAL Y COL salary VAL 30000 COL rate VAL 5.0 COL single_exemp VAL 1500-* COL married_exemp VAL 0 COL child_exemp VAL 300 ,COL single_exemp VAL 1500-* ,1,single_exemp
22725,COL f_name VAL Abdelmajid COL l_name VAL Ayari COL gender VAL M COL area_code VAL 334 COL phone VAL 943-6462 COL city VAL TYLER COL state VAL AL COL zip VAL 36785 COL marital_status VAL M COL has_child VAL Y COL salary VAL 5000 COL rate VAL 5.0 COL single_exemp VAL 1500 COL married_exemp VAL 0 COL child_exemp VAL 300 ,COL single_exemp VAL 1500 ,0,single_exemp
26881,COL f_name VAL Ashraf COL l_name VAL Douligeris COL gender VAL F COL area_code VAL 907 COL phone VAL 938-2832 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99520 COL marital_status VAL S COL has_child VAL Y COL salary VAL 80000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL child_exemp VAL 0 ,0,child_exemp
3319,COL f_name VAL Nripendra COL l_name VAL D''Silva COL gender VAL F COL area_code VAL 505 COL phone VAL 381-8238 COL city VAL JARALES COL state VAL NM COL zip VAL 87023 COL marital_status VAL M COL has_child VAL Y COL salary VAL 45000 COL rate VAL 5.3 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 3300 ,COL city VAL JARALES ,0,city
33555,COL f_name VAL Amanda COL l_name VAL Whinston COL gender VAL M COL area_code VAL 907 COL phone VAL 523-2518 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99519 COL marital_status VAL S COL has_child VAL Y COL salary VAL 25000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL single_exemp VAL 0 ,0,single_exemp
28599,COL f_name VAL Vanu COL l_name VAL Beylin COL gender VAL M COL area_code VAL 907 COL phone VAL 555-6048 COL city VAL THORNE BAY COL state VAL AK COL zip VAL 99919 COL marital_status VAL S COL has_child VAL N COL salary VAL 40000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL state VAL AK ,0,state
9879,COL f_name VAL 'Oyekunle COL l_name VAL Videira COL gender VAL M COL area_code VAL 334 COL phone VAL 868-7581 COL city VAL CLAYTON COL state VAL AL COL zip VAL 36016 COL marital_status VAL S COL has_child VAL N COL salary VAL 50000 COL rate VAL 5.0 COL single_exemp VAL 1500 COL married_exemp VAL 0 COL child_exemp VAL 300 ,COL f_name VAL 'Oyekunle ,0,f_name
36159,COL f_name VAL M''Lissa COL l_name VAL Greenbaum COL gender VAL M COL area_code VAL 720 COL phone VAL 976-1946 COL city VAL BRECKENRIDGE COL state VAL CO COL zip VAL 80424 COL marital_status VAL M COL has_child VAL N COL salary VAL 90000 COL rate VAL 4.63 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL CO ,0,state
37927,COL f_name VAL Ambros COL l_name VAL D''Silva COL gender VAL F COL area_code VAL 603 COL phone VAL 420-8593 COL city VAL GRANTHAM COL state VAL NH COL zip VAL 3753 COL marital_status VAL S COL has_child VAL N COL salary VAL 10000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL GRANTHAM ,0,city
19569,COL f_name VAL Oris COL l_name VAL Veronese COL gender VAL M COL area_code VAL 907 COL phone VAL 136-5094 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99521 COL marital_status VAL M COL has_child VAL Y COL salary VAL 60000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL child_exemp VAL 0 ,0,child_exemp
37126,COL f_name VAL Mojmir COL l_name VAL Vorc''h COL gender VAL F COL area_code VAL 303 COL phone VAL 490-3299 COL city VAL GRAND LAKE-* COL state VAL CO COL zip VAL 80447 COL marital_status VAL M COL has_child VAL Y COL salary VAL 60000 COL rate VAL 4.63 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL GRAND LAKE-* ,1,city
