,0,1,2,3
5280,COL f_name VAL Ugis COL l_name VAL O''Boyle COL gender VAL M COL area_code VAL 580 COL phone VAL 339-9784 COL city VAL ISABELLA COL state VAL OK-* COL zip VAL 73747 COL marital_status VAL S COL has_child VAL N COL salary VAL 65000 COL rate VAL 6.25 COL single_exemp VAL 1000 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL OK-* ,1,state
36134,COL f_name VAL S''omesh COL l_name VAL Rufino COL gender VAL M COL area_code VAL 907 COL phone VAL 119-3709 COL city VAL ANCHORAGE COL state VAL AK-* COL zip VAL 99524 COL marital_status VAL M COL has_child VAL N COL salary VAL 75000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL f_name VAL S''omesh ,1,f_name
4362,COL f_name VAL Clit COL l_name VAL O''Riordan COL gender VAL M COL area_code VAL 623 COL phone VAL 208-2329 COL city VAL PHOENIX COL state VAL AZ COL zip VAL 85066 COL marital_status VAL S COL has_child VAL Y COL salary VAL 95000 COL rate VAL 4.1875 COL single_exemp VAL 2100-* COL married_exemp VAL 0 COL child_exemp VAL 2300 ,COL single_exemp VAL 2100-* ,1,single_exemp
22365,COL f_name VAL Marie COL l_name VAL Dresler COL gender VAL M COL area_code VAL 720 COL phone VAL 319-6977 COL city VAL ARBOLES-* COL state VAL CO COL zip VAL 81121 COL marital_status VAL S COL has_child VAL Y COL salary VAL 90000 COL rate VAL 4.63 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL single_exemp VAL 0 ,0,single_exemp
29454,COL f_name VAL Ra''ed COL l_name VAL Ruocco COL gender VAL F COL area_code VAL 701 COL phone VAL 340-5597 COL city VAL COLFAX-* COL state VAL ND COL zip VAL 58018 COL marital_status VAL M COL has_child VAL Y COL salary VAL 15000 COL rate VAL 2.1 COL single_exemp VAL 0 COL married_exemp VAL 6600 COL child_exemp VAL 3300 ,COL city VAL COLFAX-* ,1,city
12359,COL f_name VAL Qing COL l_name VAL Biagini COL gender VAL M COL area_code VAL 701 COL phone VAL 726-8444 COL city VAL MAIDA COL state VAL ND COL zip VAL 1907 COL marital_status VAL S COL has_child VAL N COL salary VAL 90000 COL rate VAL 2.7990127 COL single_exemp VAL 3300 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL ND ,0,state
26316,COL f_name VAL Youngmok COL l_name VAL Paijmans COL gender VAL M COL area_code VAL 304 COL phone VAL 280-2113 COL city VAL ASHFORD COL state VAL WV COL zip VAL 1907 COL marital_status VAL M COL has_child VAL Y COL salary VAL 95000 COL rate VAL 6.5 COL single_exemp VAL 0-* COL married_exemp VAL 4000 COL child_exemp VAL 2000 ,COL single_exemp VAL 0-* ,1,single_exemp
28522,COL f_name VAL Pra''bhaker COL l_name VAL Adalal COL gender VAL M COL area_code VAL 907 COL phone VAL 839-8178 COL city VAL SUTTON COL state VAL AK COL zip VAL 99674 COL marital_status VAL S COL has_child VAL N COL salary VAL 50000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL f_name VAL Pra''bhaker ,1,f_name
40535,COL f_name VAL Ebrah'im COL l_name VAL Behrendt COL gender VAL M COL area_code VAL 253 COL phone VAL 817-6482 COL city VAL APPLETON-* COL state VAL WA COL zip VAL 98602 COL marital_status VAL M COL has_child VAL Y COL salary VAL 75000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL f_name VAL Ebrah'im ,0,f_name
6574,COL f_name VAL Clinton COL l_name VAL O''Neill COL gender VAL M COL area_code VAL 203 COL phone VAL 463-3779 COL city VAL HIGGANUM-* COL state VAL CT COL zip VAL 6441 COL marital_status VAL S COL has_child VAL N COL salary VAL 85000 COL rate VAL 5.0 COL single_exemp VAL 12750 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL HIGGANUM-* ,1,city
26579,COL f_name VAL Mihail COL l_name VAL Demmer COL gender VAL F COL area_code VAL 859 COL phone VAL 510-4729 COL city VAL PINE RIDGE COL state VAL KY COL zip VAL 1907 COL marital_status VAL M COL has_child VAL N COL salary VAL 50000 COL rate VAL 4.611111 COL single_exemp VAL 0 COL married_exemp VAL 40 COL child_exemp VAL 0 ,COL state VAL KY ,0,state
33810,COL f_name VAL Stasys COL l_name VAL D''Aloisi COL gender VAL M COL area_code VAL 251 COL phone VAL 935-6652 COL city VAL MARGARET-* COL state VAL AL COL zip VAL 35112 COL marital_status VAL M COL has_child VAL Y COL salary VAL 40000 COL rate VAL 5.0 COL single_exemp VAL 0 COL married_exemp VAL 3000 COL child_exemp VAL 300 ,COL city VAL MARGARET-* ,1,city
36129,COL f_name VAL Annig COL l_name VAL d''Argence COL gender VAL F COL area_code VAL 435 COL phone VAL 925-7970 COL city VAL SANTAQUIN COL state VAL UT COL zip VAL 84655 COL marital_status VAL M COL has_child VAL N COL salary VAL 90000 COL rate VAL 7.0 COL single_exemp VAL 0 COL married_exemp VAL 4950 COL child_exemp VAL 0 ,COL state VAL UT ,0,state
38550,COL f_name VAL Warwich COL l_name VAL Hodzic COL gender VAL M COL area_code VAL 907 COL phone VAL 866-6074 COL city VAL MANOKOTAK COL state VAL AK-* COL zip VAL 99628 COL marital_status VAL M COL has_child VAL Y COL salary VAL 20000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL state VAL AK-* ,1,state
30494,COL f_name VAL Kinson COL l_name VAL Pathak COL gender VAL M COL area_code VAL 907 COL phone VAL 814-5725 COL city VAL SKAGWAY-* COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 50000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL city VAL SKAGWAY-* ,1,city
6610,COL f_name VAL Taewoong COL l_name VAL O''Dunlaing COL gender VAL F COL area_code VAL 570 COL phone VAL 372-7323 COL city VAL CATAWISSA COL state VAL PA COL zip VAL 17820 COL marital_status VAL S COL has_child VAL N COL salary VAL 95000 COL rate VAL 3.07 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0-* ,COL child_exemp VAL 0-* ,1,child_exemp
