,0,1,2
0,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL f_name VAL Torbjorn ,0
1,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL f_name VAL Torbjorn ,0
2,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL f_name VAL Torbjorn ,0
3,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL Kesselman ,0
4,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL Kesselman ,0
5,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL l_name VAL Kesselman ,0
6,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL gender VAL F ,0
7,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL gender VAL F ,0
8,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL gender VAL F ,0
9,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL area_code VAL 907 ,0
10,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL area_code VAL 907 ,0
11,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL area_code VAL 907 ,0
12,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL phone VAL 861-3988 ,0
13,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL phone VAL 861-3988 ,0
14,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL phone VAL 861-3988 ,0
15,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0-* COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL SKAGWAY ,0
16,COL f_name VAL Torbjorn COL l_name VAL Kesselman COL gender VAL F COL area_code VAL 907 COL phone VAL 861-3988 COL city VAL SKAGWAY COL state VAL AK COL zip VAL 99840 COL marital_status VAL M COL has_child VAL N COL salary VAL 85000 COL rate VAL 0.0 COL single_exemp VAL 0 COL married_exemp VAL 0 COL child_exemp VAL 0 ,COL city VAL SKAGWAY ,0
